Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Тестирование Б.1.2. Эксплуатация опасных производственных объектов нефтегазоперерабатывающих и нефтехиКурс,Каталог курсов (СДО),,,,,,,,,,,,,10922,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.3. Эксплуатация опасных производственных объектов сжиженного природного газа,Каталог курсов (СДО),,,,,,,,,,,,,10923,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.4. Эксплуатация хлорных объектов,Каталог курсов (СДО),,,,,,,,,,,,,10933,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.5. Эксплуатация производств минеральных удобрений,Каталог курсов (СДО),,,,,,,,,,,,,10934,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.6. Эксплуатация аммиачных холодильных установок,Каталог курсов (СДО),,,,,,,,,,,,,10935,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.7. Эксплуатация опасных производственных объектов складов нефти и нефтепродуктов,Каталог курсов (СДО),,,,,,,,,,,,,10936,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.1.8. Проектирование химически опасных производственных объектов,Каталог курсов (СДО),,,,,,,,,,,,,10937,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.1.9. Строительство, реконструкция, техническое перевооружение, капитальный ремонт, консерв",Каталог курсов (СДО),,,,,,,,,,,,,10938,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.10.1. Транспортирование опасных веществ железнодорожным транспортом,Каталог курсов (СДО),,,,,,,,,,,,,11015,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.10.2. Транспортирование опасных веществ автомобильным транспортом,Каталог курсов (СДО),,,,,,,,,,,,,11016,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
