Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
"Тестирование Б.8.6.1. Проектирование, строительство, реконструкция, капитальный ремонт и техническое перев",Каталог курсов (СДО),,,,,,,,,,,,,11003,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.6.2. Изготовление, монтаж (демонтаж), обслуживание и ремонт (реконструкция) с применениеКурс",Каталог курсов (СДО),,,,,,,,,,,,,11004,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.7. Наполнение, техническое освидетельствование и ремонт баллонов для хранения и транспорКурс",Каталог курсов (СДО),,,,,,,,,,,,,11005,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.1. Эксплуатация и капитальный ремонт опасных производственных объектов, на которых испо",Каталог курсов (СДО),,,,,,,,,,,,,11006,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.2. Проектирование, строительство, реконструкция, техническое перевооружение, консерваци",Каталог курсов (СДО),,,,,,,,,,,,,11007,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.3. Эксплуатация опасных производственных объектов, на которых используются подъемные",Каталог курсов (СДО),,,,,,,,,,,,,11008,соКурс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.4. Проектирование, строительство, реконструкция, техническое перевооружение, капитальны",Каталог курсов (СДО),,,,,,,,,,,,,11009,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.5. Монтаж, наладка, обслуживание, ремонт, реконструкция или модернизация подъемных сооКурс",Каталог курсов (СДО),,,,,,,,,,,,,11010,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.6. Эксплуатация и капитальный ремонт опасных производственных объектов, на которых испо",Каталог курсов (СДО),,,,,,,,,,,,,11011,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.7. Проектирование, строительство, реконструкция, техническое перевооружение, консерваци",Каталог курсов (СДО),,,,,,,,,,,,,11012,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.8. Эксплуатация и капитальный ремонт опасных производственных объектов, на которых испо",Каталог курсов (СДО),,,,,,,,,,,,,11013,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.9.9. Проектирование, строительство, реконструкция, техническое перевооружение, консерваци",Каталог курсов (СДО),,,,,,,,,,,,,11014,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование В.1. Гидротехнические сооружения объектов промышленности,Каталог курсов (СДО),,,,,,,,,,,,,11021,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование В.2. Гидротехнические сооружения объектов энергетики,Каталог курсов (СДО),,,,,,,,,,,,,11022,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование В.4. Экспертиза деклараций безопасности гидротехнических сооружений,Каталог курсов (СДО),,,,,,,,,,,,,11024,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование В.5. Судоходные гидротехнические сооружения,Каталог курсов (СДО),,,,,,,,,,,,,11025,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование В.З. Гидротехнические сооружения объектов водохозяйственного комплекса,Каталог курсов (СДО),,,,,,,,,,,,,11023,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Г.1.1. Эксплуатация электроустановок,Каталог курсов (СДО),,,,,,,,,,,,,11026,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Г.2.1. Эксплуатация тепловых электрических станций,Каталог курсов (СДО),,,,,,,,,,,,,11027,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Г.2.2. Эксплуатация электрических сетей,Каталог курсов (СДО),,,,,,,,,,,,,11028,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Г.2.3. Эксплуатация гидроэлектростанций,Каталог курсов (СДО),,,,,,,,,,,,,11029,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Г.2.4. Эксплуатация объектов возобновляемых источников энергии,Каталог курсов (СДО),,,,,,,,,,,,,11030,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики тепловой энергии. Теплоснабжающие и теплогенерирующие компании,Каталог курсов (СДО),,,,,,,,,,,,,11067,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11059,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11060,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11061,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11062,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До и выше 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11054,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До и выше 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11055,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До и выше 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11057,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Поставщики электроэнергии До и выше 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11058,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11082,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11083,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11084,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11085,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До и выше 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11074,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До и выше 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11075,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До и выше 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11076,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Непромышленные. До и выше 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11077,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11078,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11079,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11080,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11081,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До и выше 1000 В II Группа,Каталог курсов (СДО),,,,,,,,,,,,,11063,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До и выше 1000 В III Группа,Каталог курсов (СДО),,,,,,,,,,,,,11064,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До и выше 1000 В IV Группа,Каталог курсов (СДО),,,,,,,,,,,,,11065,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Потребители электроэнергии. Промышленные. До и выше 1000 В V Группа,Каталог курсов (СДО),,,,,,,,,,,,,11066,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Вентиляция,Каталог курсов (СДО),,,,,,,,,,,,,11068,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Вентиляция и отопление,Каталог курсов (СДО),,,,,,,,,,,,,11071,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Отопление,Каталог курсов (СДО),,,,,,,,,,,,,11069,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Отопление и вентиляция,Каталог курсов (СДО),,,,,,,,,,,,,11097,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Технооборудование,Каталог курсов (СДО),,,,,,,,,,,,,11070,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Технооборудование и вентиляция,Каталог курсов (СДО),,,,,,,,,,,,,11072,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование. Теплопотребители. Технооборудование и отопление,Каталог курсов (СДО),,,,,,,,,,,,,11073,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Техническая эксплуатация объектов теплоснабжения и теплопотребляющих установок,Оба файла,разработка,,ПП,256,проф. переподготовка,АНО ДПО УМЦ «Здоровый труд»,Борисова Надежда,,разработан,Винник Е.,апрель,11786,11786,обТехническ 4340,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~5AeSg,,
Технология выполнения (приёмки) монтажных соединений на высокопрочных болтах с контролируемым натяжеNULL,Каталог курсов (СДО),,,,,,,,,,,,,9445,NULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~W3Uht,,
Техносферная безопасность (256 ч),Каталог курсов (СДО),,,,,,,,,,,,,6643,Обучение NULL 4340,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~u6oaX,,
Техносферная безопасность (512 ч),Каталог курсов (СДО),,,,,,,,,,,,,6644,Обучение NULL 5500,NULL,512,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~WbIao,,
Требования промышленной безопасности гидротехнических сооружений объектов промышленности (В.1),Каталог курсов (СДО),,,,,,,,,,,,,10786,NULL NULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~2Ewf1,,
Требования промышленной безопасности гидротехнических сооружений объектов энергетики (В.2),Каталог курсов (СДО),,,,,,,,,,,,,10877,NULL NULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~SKHT0,,
"Требования промышленной безопасности к эксплуатации котлов (паровых, водогрейных, электрических, с органNULL",Каталог курсов (СДО),,,,,,,,,,,,,9779,Требован 520,NULL,72,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~5Wntx,,
Управление грузоподъемными механизмами с пола,Каталог курсов (СДО),,,,,,,,,,,,,7194,NULL Управлен 350,NULL,36,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~2Xumq,,
Физико-химические методы и средства химического анализа в деятельности испытательных лабораторий 256; 72 прф.переподготовка повышение квалификации АНО ДПО УМЦ «Здоровый труд» Борисова Надежда,План разработки 2026,разработка,,,,,,,,запрос на разработку,,март,,,,,,,,,,,,,
Чистильщик резервуаров ГСМ,Каталог курсов (СДО),,,,,,,,,,,,,10656,NULL Чистильщи 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~2oERK,,
"Эксплуатация (включая техническое обслуживание, техническое диагностирование, текущий ремонт) сетей газорNULL",Каталог курсов (СДО),,,,,,,,,,,,,9894,NULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~r73Ln,,
Эксплуатация автогазозаправочных станций газомоторного топлива (область аттестации Б.7.6),Оба файла,разработка,,ПБ,,повышение квалификации,"АО ""КРИОГАЗ""",Артемьева О.А.,,разработан,Винник Е.,29.05.2026; 28.05.2026,11795,11795,Целью обуNULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~jgLHZ,,
"Эксплуатация и капитальный ремонт опасных производственных объектов, на которых используются пассажирс",Каталог курсов (СДО),,,,,,,,,,,,,10941,NULL Эксплуата 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~9TsH4,,
Эксплуатация объектов нефтяной и газовой промышленности (область аттестации Б.2.1),Каталог курсов (СДО),,,,,,,,,,,,,10913,NULL NULL 520,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~JCOoj,,
"Эксплуатация объектов хранения и переработки растительного сырья, в том числе изготовление, монтаж, налад",Каталог курсов (СДО),,,,,,,,,,,,,10889,NULL NULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~2qWfD,,
Эксплуатация опасных производственных объектов сжиженного природного газа (область аттестации Б.1.3),Оба файла,разработка,,ПБ,,повышение квалификации,"АО ""КРИОГАЗ""",Артемьева О.А.,,в разработке,Винник Е.,05.06.2026,,11802,Целью обуNULL 290,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/doc/R7njItNIgs2SMejU2tOMэ,,
"Эксплуатация опасных производственных объектов, на которых используются водолазные барокамеры (область",Каталог курсов (СДО),,,,,,,,,,,,,11138,Категория NULL 520,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4y8Av,,
"Эксплуатация опасных производственных объектов, на которых используются медицинские барокамеры (областКурс",Каталог курсов (СДО),,,,,,,,,,,,,11137,пред NULL 520,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~5IMIz,,
"Эксплуатация опасных производственных объектов, на которых используются подъемные сооружения (область",Каталог курсов (СДО),,,,,,,,,,,,,9751,NULL Эксплуата 520,NULL,20,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~jO58y,,
"Эксплуатация опасных производственных объектов, на которых используются сосуды, работающие под избыточ",Каталог курсов (СДО),,,,,,,,,,,,,9738,NULL NULL 520,NULL,40,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~xcr2l,,
"Эксплуатация опасных производственных объектов, на которых используются трубопроводы пара и горячей вод",Каталог курсов (СДО),,,,,,,,,,,,,10901,NULL Эксплуата 520,NULL,16,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~A39aW,,
Эксплуатация тепловых электрических станций (область аттестации Г.2.1),Каталог курсов (СДО),,,,,,,,,,,,,10917,NULL NULL 290,NULL,72,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~tFgBB,,
Эксплуатация химически опасных производственных объектов (область аттестации Б.1.1),Каталог курсов (СДО),,,,,,,,,,,,,11267,Целью обуNULL 290,NULL,16,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~6f9kG,,
Эксплуатация электроустановок (область аттестации Г.1.1),Каталог курсов (СДО),,,,,,,,,,,,,10940,NULL NULL 290,NULL,72,Подготовка,к тестированию в РТН ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~QipSD,,
